Quantifier,PI in the premise,Direction,Content,Monot,Premise,Consequent
Evwho,Negative,Decreasing,6,DD,Every alien who did not use any coins is hairy.,Every alien who did not use quarters is hairy.
Nowi,None,Increasing,6,DD,No alien died without using quarters.,No alien died without using coins.
Evwho,Negative,Increasing,6,DD,Every alien who did not use any quarters is hairy.,Every alien who did not use coins is hairy.
Nowi,None,Decreasing,7,DD,No alien died without buying clothes.,No alien died without buying shirts.
Evwho,Negative,Decreasing,7,DD,Every alien who did not buy any clothes is hairy.,Every alien who did not buy shirts is hairy.
Nowi,None,Increasing,7,DD,No alien died without buying shirts.,No alien died without buying clothes.
Evwho,Negative,Increasing,7,DD,Every alien who did not buy any shirts is hairy.,Every alien who did not buy clothes is hairy.
Nowi,None,Decreasing,8,DD,No alien died without throwing balls.,No alien died without throwing tennis balls.
Evwho,Negative,Decreasing,8,DD,Every alien who did not throw any balls is hairy.,Every alien who did not throw tennis balls is hairy.
Nowi,None,Increasing,8,DD,No alien died without throwing tennis balls.,No alien died without throwing balls.
Evwho,Negative,Increasing,8,DD,Every alien who did not throw any tennis balls is hairy.,Every alien who did not throw balls is hairy.
Nowi,None,Decreasing,9,DD,No alien died without drinking soda.,No alien died without drinking coke.
Evwho,Negative,Decreasing,9,DD,Every alien who did not drink any soda is hairy.,Every alien who did not drink coke is hairy.
Nowi,None,Increasing,9,DD,No alien died without drinking coke.,No alien died without drinking soda.
Evwho,Negative,Increasing,9,DD,Every alien who did not drink any coke is hairy.,Every alien who did not drink soda is hairy.
Nowi,None,Decreasing,10,DD,No alien died without reading magazines.,No alien died without reading news magazines.
Evwho,Negative,Decreasing,10,DD,Every alien who did not read any magazines is hairy.,Every alien who did not read news magazines is hairy.
Nowi,None,Increasing,10,DD,No alien died without reading news magazines.,No alien died without reading magazines.
Evwho,Negative,Increasing,10,DD,Every alien who did not read any news magazines is hairy.,Every alien who did not read magazines is hairy.
Negative,Negative,Decreasing,1,DE,The red alien did not eat any meat.,The red alien did not eat pork.
No,None,Decreasing,1,DE,No alien ate meat.,No alien ate pork.
Few,Negative,Decreasing,1,DE,Few aliens ate any meat.,Few aliens ate pork.
Negative,Negative,Increasing,1,DE,The red alien did not eat any pork.,The red alien did not eat meat.
No,None,Increasing,1,DE,No alien ate pork.,No alien ate meat.
Few,Negative,Increasing,1,DE,Few aliens ate any pork.,Few aliens ate meat.
Negative,Negative,Decreasing,2,DE,The red alien did not watch any sports matches.,The red alien did not watch baseball matches.
No,None,Decreasing,2,DE,No alien watched sports matches.,No alien watched baseball matches.
Few,Negative,Decreasing,2,DE,Few aliens watched any sports matches.,Few aliens watched baseball matches.
Negative,Negative,Increasing,2,DE,The red alien did not watch any baseball matches.,The red alien did not watch sports matches.
No,None,Increasing,2,DE,No alien watched baseball matches.,No alien watched sports matches.
Few,Negative,Increasing,2,DE,Few aliens watched any baseball matches.,Few aliens watched sports matches.
Negative,Negative,Decreasing,3,DE,The red alien did not see any birds.,The red alien did not see doves.
No,None,Decreasing,3,DE,No alien saw birds.,No alien saw doves.
Few,Negative,Decreasing,3,DE,Few aliens saw any birds.,Few aliens saw doves.
Negative,Negative,Increasing,3,DE,The red alien did not see any doves.,The red alien did not see birds.
No,None,Increasing,3,DE,No alien saw doves.,No alien saw birds.
Few,Negative,Increasing,3,DE,Few aliens saw any doves.,Few aliens saw birds.
Negative,Negative,Decreasing,4,DE,The red alien did not eat at any restaurants.,The red alien did not eat at Mexican restaurants.
No,None,Decreasing,4,DE,No alien ate at restaurants.,No alien ate at Mexican restaurants.
Few,Negative,Decreasing,4,DE,Few aliens ate at any restaurants.,Few aliens ate at Mexican restaurants.
Negative,Negative,Increasing,4,DE,The red alien did not eat at any Mexican restaurants.,The red alien did not eat at restaurants.
No,None,Increasing,4,DE,No alien ate at Mexican restaurants.,No alien ate at restaurants.
Few,Negative,Increasing,4,DE,Few aliens ate at any Mexican restaurants.,Few aliens ate at restaurants.
Negative,Negative,Decreasing,5,DE,The red alien did not play with any toys.,The red alien did not play with toy cars.
No,None,Decreasing,5,DE,No alien played with toys.,No alien played with toy cars.
Few,Negative,Decreasing,5,DE,Few aliens played with any toys.,Few aliens played with toy cars.
Negative,Negative,Increasing,5,DE,The red alien did not play with any toy cars.,The red alien did not play with toys.
No,None,Increasing,5,DE,No alien played with toy cars.,No alien played with toys.
Few,Negative,Increasing,5,DE,Few aliens played with any toy cars.,Few aliens played with toys.
Negative,Negative,Decreasing,6,DE,The red alien did not use any coins.,The red alien did not use quarters.
No,None,Decreasing,6,DE,No alien used coins.,No alien used quarters.
Few,Negative,Decreasing,6,DE,Few aliens used any coins.,Few aliens used quarters.
Negative,Negative,Increasing,6,DE,The red alien did not use any quarters.,The red alien did not use coins.
No,None,Increasing,6,DE,No alien used quarters.,No alien used coins.
Few,Negative,Increasing,6,DE,Few aliens used any quarters.,Few aliens used coins.
Negative,Negative,Decreasing,7,DE,The red alien did not buy any clothes.,The red alien did not buy shirts.
No,None,Decreasing,7,DE,No alien bought clothes.,No alien bought shirts.
Few,Negative,Decreasing,7,DE,Few aliens bought any clothes.,Few aliens bought shirts.
Negative,Negative,Increasing,7,DE,The red alien did not buy any shirts.,The red alien did not buy clothes.
No,None,Increasing,7,DE,No alien bought shirts.,No alien bought clothes.
Few,Negative,Increasing,7,DE,Few aliens bought any shirts.,Few aliens bought clothes.
Negative,Negative,Decreasing,8,DE,The red alien did not throw any balls.,The red alien did not throw tennis balls.
No,None,Decreasing,8,DE,No alien threw balls.,No alien threw tennis balls.
Few,Negative,Decreasing,8,DE,Few aliens threw any balls.,Few aliens threw tennis balls.
Negative,Negative,Increasing,8,DE,The red alien did not throw any tennis balls.,The red alien did not throw balls.
No,None,Increasing,8,DE,No alien threw tennis balls.,No alien threw balls.
Few,Negative,Increasing,8,DE,Few aliens threw any tennis balls.,Few aliens threw balls.
Negative,Negative,Decreasing,9,DE,The red alien did not drink any soda.,The red alien did not drink coke.
No,None,Decreasing,9,DE,No alien drank soda.,No alien drank coke.
Few,Negative,Decreasing,9,DE,Few aliens drank any soda.,Few aliens drank coke.
Negative,Negative,Increasing,9,DE,The red alien did not drink any coke.,The red alien did not drink soda.
No,None,Increasing,9,DE,No alien drank coke.,No alien drank soda.
Few,Negative,Increasing,9,DE,Few aliens drank any coke.,Few aliens drank soda.
Negative,Negative,Decreasing,10,DE,The red alien did not read any magazines.,The red alien did not read news magazines.
No,None,Decreasing,10,DE,No alien read magazines.,No alien read news magazines.
Few,Negative,Decreasing,10,DE,Few aliens read any magazines.,Few aliens read news magazines.
Negative,Negative,Increasing,10,DE,The red alien did not read any news magazines.,The red alien did not read magazines.
No,None,Increasing,10,DE,No alien read news magazines.,No alien read magazines.
Few,Negative,Increasing,10,DE,Few aliens read any news magazines.,Few aliens read magazines.
Exactly 12,Positive,Decreasing,1,NM,Exactly 12 aliens ate some meat.,Exactly 12 aliens ate pork.
Only 12,None,Decreasing,1,NM,Only 12 aliens ate meat.,Only 12 aliens ate pork.
Exactly 12,Positive,Increasing,1,NM,Exactly 12 aliens ate some pork.,Exactly 12 aliens ate meat.
Only 12,None,Increasing,1,NM,Only 12 aliens ate pork.,Only 12 aliens ate meat.
Exactly 12,Positive,Decreasing,2,NM,Exactly 12 aliens watched some sports matches.,Exactly 12 aliens watched baseball matches.
Only 12,None,Decreasing,2,NM,Only 12 aliens watched sports matches.,Only 12 aliens watched baseball matches.
Exactly 12,Positive,Increasing,2,NM,Exactly 12 aliens watched some baseball matches.,Exactly 12 aliens watched sports matches.
Only 12,None,Increasing,2,NM,Only 12 aliens watched baseball matches.,Only 12 aliens watched sports matches.
Exactly 12,Positive,Decreasing,3,NM,Exactly 12 aliens saw some birds.,Exactly 12 aliens saw doves.
Only 12,None,Decreasing,3,NM,Only 12 aliens saw birds.,Only 12 aliens saw doves.
Exactly 12,Positive,Increasing,3,NM,Exactly 12 aliens saw some doves.,Exactly 12 aliens saw birds.
Only 12,None,Increasing,3,NM,Only 12 aliens saw doves.,Only 12 aliens saw birds.
Exactly 12,Positive,Decreasing,4,NM,Exactly 12 aliens ate at some restaurants.,Exactly 12 aliens ate at Mexican restaurants.
Only 12,None,Decreasing,4,NM,Only 12 aliens ate at restaurants.,Only 12 aliens ate at Mexican restaurants.
Exactly 12,Positive,Increasing,4,NM,Exactly 12 aliens ate at some Mexican restaurants.,Exactly 12 aliens ate at restaurants.
Only 12,None,Increasing,4,NM,Only 12 aliens ate at Mexican restaurants.,Only 12 aliens ate at restaurants.
Exactly 12,Positive,Decreasing,5,NM,Exactly 12 aliens played with some toys.,Exactly 12 aliens played with toy cars.
Only 12,None,Decreasing,5,NM,Only 12 aliens played with toys.,Only 12 aliens played with toy cars.
Exactly 12,Positive,Increasing,5,NM,Exactly 12 aliens played with some toy cars.,Exactly 12 aliens played with toys.
Only 12,None,Increasing,5,NM,Only 12 aliens played with toy cars.,Only 12 aliens played with toys.
Exactly 12,Positive,Decreasing,6,NM,Exactly 12 aliens used some coins.,Exactly 12 aliens used quarters.
Only 12,None,Decreasing,6,NM,Only 12 aliens used coins.,Only 12 aliens used quarters.
Exactly 12,Positive,Increasing,6,NM,Exactly 12 aliens used some quarters.,Exactly 12 aliens used coins.
Only 12,None,Increasing,6,NM,Only 12 aliens used quarters.,Only 12 aliens used coins.
Exactly 12,Positive,Decreasing,7,NM,Exactly 12 aliens bought some clothes.,Exactly 12 aliens bought shirts.
Only 12,None,Decreasing,7,NM,Only 12 aliens bought clothes.,Only 12 aliens bought shirts.
Exactly 12,Positive,Increasing,7,NM,Exactly 12 aliens bought some shirts.,Exactly 12 aliens bought clothes.
Only 12,None,Increasing,7,NM,Only 12 aliens bought shirts.,Only 12 aliens bought clothes.
Exactly 12,Positive,Decreasing,8,NM,Exactly 12 aliens threw some balls.,Exactly 12 aliens threw tennis balls.
Only 12,None,Decreasing,8,NM,Only 12 aliens threw balls.,Only 12 aliens threw tennis balls.
Exactly 12,Positive,Increasing,8,NM,Exactly 12 aliens threw some tennis balls.,Exactly 12 aliens threw balls.
Only 12,None,Increasing,8,NM,Only 12 aliens threw tennis balls.,Only 12 aliens threw balls.
Exactly 12,Positive,Decreasing,9,NM,Exactly 12 aliens drank some soda.,Exactly 12 aliens drank coke.
Only 12,None,Decreasing,9,NM,Only 12 aliens drank soda.,Only 12 aliens drank coke.
Exactly 12,Positive,Increasing,9,NM,Exactly 12 aliens drank some coke.,Exactly 12 aliens drank soda.
Only 12,None,Increasing,9,NM,Only 12 aliens drank coke.,Only 12 aliens drank soda.
Exactly 12,Positive,Decreasing,10,NM,Exactly 12 aliens read some magazines.,Exactly 12 aliens read news magazines.
Only 12,None,Decreasing,10,NM,Only 12 aliens read magazines.,Only 12 aliens read news magazines.
Exactly 12,Positive,Increasing,10,NM,Exactly 12 aliens read some news magazines.,Exactly 12 aliens read magazines.
Only 12,None,Increasing,10,NM,Only 12 aliens read news magazines.,Only 12 aliens read magazines.
Positive,Positive,Decreasing,1,UE,The red alien ate some meat.,The red alien ate pork.
Every,None,Decreasing,1,UE,Every alien ate meat.,Every alien ate pork.
Many,Positive,Decreasing,1,UE,Many aliens ate some meat.,Many aliens ate pork.
Positive,Positive,Increasing,1,UE,The red alien ate some pork.,The red alien ate meat.
Every,None,Increasing,1,UE,Every alien ate pork.,Every alien ate meat.
Many,Positive,Increasing,1,UE,Many aliens ate some pork.,Many aliens ate meat.
Positive,Positive,Decreasing,2,UE,The red alien watched some sports matches.,The red alien watched baseball matches.
Every,None,Decreasing,2,UE,Every alien watched sports matches.,Every alien watched baseball matches.
Many,Positive,Decreasing,2,UE,Many aliens watched some sports matches.,Many aliens watched baseball matches.
Positive,Positive,Increasing,2,UE,The red alien watched some baseball matches.,The red alien watched sports matches.
Every,None,Increasing,2,UE,Every alien watched baseball matches.,Every alien watched sports matches.
Many,Positive,Increasing,2,UE,Many aliens watched some baseball matches.,Many aliens watched sports matches.
Positive,Positive,Decreasing,3,UE,The red alien saw some birds.,The red alien saw doves.
Every,None,Decreasing,3,UE,Every alien saw birds.,Every alien saw doves.
Many,Positive,Decreasing,3,UE,Many aliens saw some birds.,Many aliens saw doves.
Positive,Positive,Increasing,3,UE,The red alien saw some doves.,The red alien saw birds.
Every,None,Increasing,3,UE,Every alien saw doves.,Every alien saw birds.
Many,Positive,Increasing,3,UE,Many aliens saw some doves.,Many aliens saw birds.
Positive,Positive,Decreasing,4,UE,The red alien ate at some restaurants.,The red alien ate at Mexican restaurants.
Every,None,Decreasing,4,UE,Every alien ate at restaurants.,Every alien ate at Mexican restaurants.
Many,Positive,Decreasing,4,UE,Many aliens ate at some restaurants.,Many aliens ate at Mexican restaurants.
Positive,Positive,Increasing,4,UE,The red alien ate at some Mexican restaurants.,The red alien ate at restaurants.
Every,None,Increasing,4,UE,Every alien ate at Mexican restaurants.,Every alien ate at restaurants.
Many,Positive,Increasing,4,UE,Many aliens ate at some Mexican restaurants.,Many aliens ate at restaurants.
Positive,Positive,Decreasing,5,UE,The red alien played with some toys.,The red alien played with toy cars.
Every,None,Decreasing,5,UE,Every alien played with toys.,Every alien played with toy cars.
Many,Positive,Decreasing,5,UE,Many aliens played with some toys.,Many aliens played with toy cars.
Positive,Positive,Increasing,5,UE,The red alien played with some toy cars.,The red alien played with toys.
Every,None,Increasing,5,UE,Every alien played with toy cars.,Every alien played with toys.
Many,Positive,Increasing,5,UE,Many aliens played with some toy cars.,Many aliens played with toys.
Positive,Positive,Decreasing,6,UE,The red alien used some coins.,The red alien used quarters.
Every,None,Decreasing,6,UE,Every alien used coins.,Every alien used quarters.
Many,Positive,Decreasing,6,UE,Many aliens used some coins.,Many aliens used quarters.
Positive,Positive,Increasing,6,UE,The red alien used some quarters.,The red alien used coins.
Every,None,Increasing,6,UE,Every alien used quarters.,Every alien used coins.
Many,Positive,Increasing,6,UE,Many aliens used some quarters.,Many aliens used coins.
Positive,Positive,Decreasing,7,UE,The red alien bought some clothes.,The red alien bought shirts.
Every,None,Decreasing,7,UE,Every alien bought clothes.,Every alien bought shirts.
Many,Positive,Decreasing,7,UE,Many aliens bought some clothes.,Many aliens bought shirts.
Positive,Positive,Increasing,7,UE,The red alien bought some shirts.,The red alien bought clothes.
Every,None,Increasing,7,UE,Every alien bought shirts.,Every alien bought clothes.
Many,Positive,Increasing,7,UE,Many aliens bought some shirts.,Many aliens bought clothes.
Positive,Positive,Decreasing,8,UE,The red alien threw some balls.,The red alien threw tennis balls.
Every,None,Decreasing,8,UE,Every alien threw balls.,Every alien threw tennis balls.
Many,Positive,Decreasing,8,UE,Many aliens threw some balls.,Many aliens threw tennis balls.
Positive,Positive,Increasing,8,UE,The red alien threw some tennis balls.,The red alien threw balls.
Every,None,Increasing,8,UE,Every alien threw tennis balls.,Every alien threw balls.
Many,Positive,Increasing,8,UE,Many aliens threw some tennis balls.,Many aliens threw balls.
Positive,Positive,Decreasing,9,UE,The red alien drank some soda.,The red alien drank coke.
Every,None,Decreasing,9,UE,Every alien drank soda.,Every alien drank coke.
Many,Positive,Decreasing,9,UE,Many aliens drank some soda.,Many aliens drank coke.
Positive,Positive,Increasing,9,UE,The red alien drank some coke.,The red alien drank soda.
Every,None,Increasing,9,UE,Every alien drank coke.,Every alien drank soda.
Many,Positive,Increasing,9,UE,Many aliens drank some coke.,Many aliens drank soda.
Positive,Positive,Decreasing,10,UE,The red alien read some magazines.,The red alien read news magazines.
Every,None,Decreasing,10,UE,Every alien read magazines.,Every alien read news magazines.
Many,Positive,Decreasing,10,UE,Many aliens read some magazines.,Many aliens read news magazines.
Positive,Positive,Increasing,10,UE,The red alien read some news magazines.,The red alien read magazines.
Every,None,Increasing,10,UE,Every alien read news magazines.,Every alien read magazines.
Many,Positive,Increasing,10,UE,Many aliens read some news magazines.,Many aliens read magazines.
