Quantifier,PI in the premise,Direction,Content,Monot,Premise,Consequent
Exactly 12,Negative,Decreasing,4,NM,Exactly 12 aliens drove any cars.,Exactly 12 aliens drove any SUVs.
Exactly 12,Negative,Increasing,9,NM,Exactly 12 aliens drank any coke.,Exactly 12 aliens drank any soda.
Exactly 12,Negative,Increasing,2,NM,Exactly 12 aliens watched any baseball matches.,Exactly 12 aliens watched any sports matches.
Exactly 12,Negative,Increasing,11,NM,Exactly 12 aliens played with any toy cars.,Exactly 12 aliens played with any toys.
Exactly 12,Negative,Increasing,4,NM,Exactly 12 aliens drove any SUVs.,Exactly 12 aliens drove any cars.
Only 12,Negative,Decreasing,9,NM,Only 12 aliens drank any soda.,Only 12 aliens drank any coke.
Only 12,Negative,Decreasing,2,NM,Only 12 aliens watched any sports matches.,Only 12 aliens watched any baseball matches.
Only 12,Negative,Decreasing,11,NM,Only 12 aliens played with any toys.,Only 12 aliens played with any toy cars.
Only 12,Negative,Decreasing,4,NM,Only 12 aliens drove any cars.,Only 12 aliens drove any SUVs.
Only 12,Negative,Increasing,9,NM,Only 12 aliens drank any coke.,Only 12 aliens drank any soda.
Only 12,Negative,Increasing,2,NM,Only 12 aliens watched any baseball matches.,Only 12 aliens watched any sports matches.
Only 12,Negative,Increasing,11,NM,Only 12 aliens played with any toy cars.,Only 12 aliens played with any toys.
Only 12,Negative,Increasing,4,NM,Only 12 aliens drove any SUVs.,Only 12 aliens drove any cars.
Exactly 12,None,Decreasing,1,NM,Exactly 12 aliens ate meat.,Exactly 12 aliens ate pork.
Exactly 12,None,Decreasing,6,NM,Exactly 12 aliens read books.,Exactly 12 aliens read sci-fi novels.
Exactly 12,None,Decreasing,3,NM,Exactly 12 aliens saw birds.,Exactly 12 aliens saw doves.
Exactly 12,None,Decreasing,8,NM,Exactly 12 aliens threw balls.,Exactly 12 aliens threw tennis balls.
Exactly 12,None,Increasing,1,NM,Exactly 12 aliens ate pork.,Exactly 12 aliens ate meat.
Exactly 12,None,Increasing,6,NM,Exactly 12 aliens read sci-fi novels.,Exactly 12 aliens read books.
Exactly 12,None,Increasing,3,NM,Exactly 12 aliens saw doves.,Exactly 12 aliens saw birds.
Exactly 12,None,Increasing,8,NM,Exactly 12 aliens threw tennis balls.,Exactly 12 aliens threw balls.
Only 12,None,Decreasing,1,NM,Only 12 aliens ate meat.,Only 12 aliens ate pork.
Only 12,None,Decreasing,6,NM,Only 12 aliens read books.,Only 12 aliens read sci-fi novels.
Only 12,None,Decreasing,3,NM,Only 12 aliens saw birds.,Only 12 aliens saw doves.
Only 12,None,Decreasing,8,NM,Only 12 aliens threw balls.,Only 12 aliens threw tennis balls.
Only 12,None,Increasing,1,NM,Only 12 aliens ate pork.,Only 12 aliens ate meat.
Only 12,None,Increasing,6,NM,Only 12 aliens read sci-fi novels.,Only 12 aliens read books.
Only 12,None,Increasing,3,NM,Only 12 aliens saw doves.,Only 12 aliens saw birds.
Only 12,None,Increasing,8,NM,Only 12 aliens threw tennis balls.,Only 12 aliens threw balls.
Exactly 12,Positive,Decreasing,5,NM,Exactly 12 aliens read some magazines.,Exactly 12 aliens read some news magazines.
Exactly 12,Positive,Decreasing,10,NM,Exactly 12 aliens ate at some restaurants.,Exactly 12 aliens ate at some Mexican restaurants.
Exactly 12,Positive,Decreasing,7,NM,Exactly 12 aliens bought some clothes.,Exactly 12 aliens bought some shirts.
Exactly 12,Positive,Decreasing,12,NM,Exactly 12 aliens used some coins.,Exactly 12 aliens used some quarters.
Exactly 12,Positive,Increasing,5,NM,Exactly 12 aliens read some news magazines.,Exactly 12 aliens read some magazines.
Exactly 12,Positive,Increasing,10,NM,Exactly 12 aliens ate at some Mexican restaurants.,Exactly 12 aliens ate at some restaurants.
Exactly 12,Positive,Increasing,7,NM,Exactly 12 aliens bought some shirts.,Exactly 12 aliens bought some clothes.
Exactly 12,Positive,Increasing,12,NM,Exactly 12 aliens used some quarters.,Exactly 12 aliens used some coins.
Only 12,Positive,Decreasing,5,NM,Only 12 aliens read some magazines.,Only 12 aliens read some news magazines.
Only 12,Positive,Decreasing,10,NM,Only 12 aliens ate at some restaurants.,Only 12 aliens ate at some Mexican restaurants.
Only 12,Positive,Decreasing,7,NM,Only 12 aliens bought some clothes.,Only 12 aliens bought some shirts.
Only 12,Positive,Decreasing,12,NM,Only 12 aliens used some coins.,Only 12 aliens used some quarters.
Only 12,Positive,Increasing,5,NM,Only 12 aliens read some news magazines.,Only 12 aliens read some magazines.
Only 12,Positive,Increasing,10,NM,Only 12 aliens ate at some Mexican restaurants.,Only 12 aliens ate at some restaurants.
Only 12,Positive,Increasing,7,NM,Only 12 aliens bought some shirts.,Only 12 aliens bought some clothes.
Only 12,Positive,Increasing,12,NM,Only 12 aliens used some quarters.,Only 12 aliens used some coins.
Every,None,Decreasing,1,UE,Every alien ate meat.,Every alien ate pork.
Every,None,Decreasing,6,UE,Every alien read books.,Every alien read sci-fi novels.
Every,None,Decreasing,3,UE,Every alien saw birds.,Every alien saw doves.
Every,None,Decreasing,8,UE,Every alien threw balls.,Every alien threw tennis balls.
Every,None,Increasing,1,UE,Every alien ate pork.,Every alien ate meat.
Every,None,Increasing,6,UE,Every alien read sci-fi novels.,Every alien read books.
Every,None,Increasing,3,UE,Every alien saw doves.,Every alien saw birds.
Every,None,Increasing,8,UE,Every alien threw tennis balls.,Every alien threw balls.
Many,None,Decreasing,1,UE,Many aliens ate meat.,Many aliens ate pork.
Many,None,Decreasing,6,UE,Many aliens read books.,Many aliens read sci-fi novels.
Many,None,Decreasing,3,UE,Many aliens saw birds.,Many aliens saw doves.
Many,None,Decreasing,8,UE,Many aliens threw balls.,Many aliens threw tennis balls.
Many,None,Increasing,1,UE,Many aliens ate pork.,Many aliens ate meat.
Many,None,Increasing,6,UE,Many aliens read sci-fi novels.,Many aliens read books.
Many,None,Increasing,3,UE,Many aliens saw doves.,Many aliens saw birds.
Many,None,Increasing,8,UE,Many aliens threw tennis balls.,Many aliens threw balls.
Positive,None,Decreasing,1,UE,The purple alien ate meat.,The purple alien ate pork.
Positive,None,Decreasing,6,UE,The purple alien read books.,The purple alien read sci-fi novels.
Positive,None,Decreasing,3,UE,The purple alien saw birds.,The purple alien saw doves.
Positive,None,Decreasing,8,UE,The purple alien threw balls.,The purple alien threw tennis balls.
Positive,None,Increasing,1,UE,The yellow alien ate pork.,The yellow alien ate meat.
Positive,None,Increasing,6,UE,The yellow alien read sci-fi novels.,The yellow alien read books.
Positive,None,Increasing,3,UE,The yellow alien saw doves.,The yellow alien saw birds.
Positive,None,Increasing,8,UE,The yellow alien threw tennis balls.,The yellow alien threw balls.
Every,Positive,Decreasing,5,UE,Every alien read some magazines.,Every alien read some news magazines.
Every,Positive,Decreasing,10,UE,Every alien ate at some restaurants.,Every alien ate at some Mexican restaurants.
Every,Positive,Decreasing,7,UE,Every alien bought some clothes.,Every alien bought some shirts.
Every,Positive,Decreasing,12,UE,Every alien used some coins.,Every alien used some quarters.
Every,Positive,Increasing,5,UE,Every alien read some news magazines.,Every alien read some magazines.
Every,Positive,Increasing,10,UE,Every alien ate at some Mexican restaurants.,Every alien ate at some restaurants.
Every,Positive,Increasing,7,UE,Every alien bought some shirts.,Every alien bought some clothes.
Every,Positive,Increasing,12,UE,Every alien used some quarters.,Every alien used some coins.
Many,Positive,Decreasing,5,UE,Many aliens read some magazines.,Many aliens read some news magazines.
Many,Positive,Decreasing,10,UE,Many aliens ate at some restaurants.,Many aliens ate at some Mexican restaurants.
Many,Positive,Decreasing,7,UE,Many aliens bought some clothes.,Many aliens bought some shirts.
Many,Positive,Decreasing,12,UE,Many aliens used some coins.,Many aliens used some quarters.
Many,Positive,Increasing,5,UE,Many aliens read some news magazines.,Many aliens read some magazines.
Many,Positive,Increasing,10,UE,Many aliens ate at some Mexican restaurants.,Many aliens ate at some restaurants.
Many,Positive,Increasing,7,UE,Many aliens bought some shirts.,Many aliens bought some clothes.
Many,Positive,Increasing,12,UE,Many aliens used some quarters.,Many aliens used some coins.
Positive,Positive,Decreasing,5,UE,The red alien read some magazines.,The red alien read some news magazines.
Positive,Positive,Decreasing,10,UE,The red alien ate at some restaurants.,The red alien ate at some Mexican restaurants.
Positive,Positive,Decreasing,7,UE,The red alien bought some clothes.,The red alien bought some shirts.
Positive,Positive,Decreasing,12,UE,The red alien used some coins.,The red alien used some quarters.
Positive,Positive,Increasing,5,UE,The blue alien read some news magazines.,The blue alien read some magazines.
Positive,Positive,Increasing,10,UE,The blue alien ate at some Mexican restaurants.,The blue alien ate at some restaurants.
Positive,Positive,Increasing,7,UE,The blue alien bought some shirts.,The blue alien bought some clothes.
Positive,Positive,Increasing,12,UE,The blue alien used some quarters.,The blue alien used some coins.
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
